Time	MeshX	MeshY	
0	-0.3	0	
0.001	-0.3	-9.127354E-06	
0.002	-0.3	-2.737756E-05	
0.003	-0.3	-5.475038E-05	
0.004	-0.3	-9.124591E-05	
0.005	-0.3	-0.0001368641	
0.006	-0.3	-0.000191605	
0.007	-0.3	-0.0002554687	
0.008	-0.2999999	-0.0003284551	
0.009000001	-0.2999998	-0.0004105642	
0.01	-0.2999997	-0.0005017959	
0.011	-0.2999996	-0.0006021503	
0.012	-0.2999993	-0.0007116272	
0.013	-0.2999991	-0.000830227	
0.014	-0.2999987	-0.0009579491	
0.015	-0.2999983	-0.001094794	
0.016	-0.2999977	-0.001240761	
0.017	-0.2999971	-0.00139585	
0.018	-0.2999963	-0.001560062	
0.019	-0.2999955	-0.001733395	
0.02	-0.2999944	-0.001915851	
0.021	-0.2999932	-0.002107427	
0.022	-0.2999918	-0.002308126	
0.023	-0.2999902	-0.002517945	
0.024	-0.2999884	-0.002736885	
0.025	-0.2999863	-0.002964946	
0.026	-0.2999839	-0.003202126	
0.027	-0.2999813	-0.003448427	
0.028	-0.2999784	-0.003703846	
0.029	-0.2999751	-0.003968384	
0.03	-0.2999715	-0.004242039	
0.031	-0.2999675	-0.004524812	
0.032	-0.2999631	-0.004816701	
0.033	-0.2999582	-0.005117706	
0.034	-0.2999529	-0.005427826	
0.035	-0.2999471	-0.005747059	
0.036	-0.2999408	-0.006075405	
0.037	-0.299934	-0.006412862	
0.038	-0.2999265	-0.00675943	
0.039	-0.2999185	-0.007115106	
0.04	-0.2999098	-0.007479888	
0.041	-0.2999004	-0.007853778	
0.042	-0.2998904	-0.008236771	
0.043	-0.2998795	-0.008628866	
0.044	-0.299868	-0.009030059	
0.045	-0.2998556	-0.009440351	
0.046	-0.2998423	-0.00985974	
0.047	-0.2998281	-0.01028822	
0.048	-0.299813	-0.01072579	
0.049	-0.299797	-0.01117245	
0.05	-0.2997799	-0.01162819	
0.051	-0.2997618	-0.01209302	
0.052	-0.2997426	-0.01256692	
0.053	-0.2997223	-0.0130499	
0.054	-0.2997007	-0.01354194	
0.055	-0.2996779	-0.01404306	
0.056	-0.2996539	-0.01455323	
0.057	-0.2996286	-0.01507247	
0.058	-0.2996019	-0.01560075	
0.059	-0.2995737	-0.01613809	
0.06	-0.2995442	-0.01668447	
0.061	-0.2995131	-0.01723989	
0.062	-0.2994804	-0.01780433	
0.063	-0.2994461	-0.01837781	
0.064	-0.2994101	-0.0189603	
0.06500001	-0.2993725	-0.01955181	
0.066	-0.2993331	-0.02015232	
0.067	-0.2992918	-0.02076183	
0.068	-0.2992486	-0.02138033	
0.06900001	-0.2992035	-0.02200782	
0.07	-0.2991565	-0.02264428	
0.071	-0.2991074	-0.0232897	
0.072	-0.2990561	-0.02394409	
0.07300001	-0.2990027	-0.02460742	
0.074	-0.2989471	-0.02527969	
0.075	-0.2988892	-0.02596088	
0.07600001	-0.2988289	-0.026651	
0.07700001	-0.2987662	-0.02735001	
0.078	-0.298701	-0.02805793	
0.079	-0.2986333	-0.02877472	
0.08000001	-0.298563	-0.0295004	
0.081	-0.2984901	-0.03023492	
0.082	-0.2984143	-0.03097828	
0.083	-0.2983359	-0.03173048	
0.08400001	-0.2982545	-0.0324915	
0.085	-0.2981702	-0.03326131	
0.086	-0.2980829	-0.03403991	
0.087	-0.2979925	-0.03482728	
0.08800001	-0.2978989	-0.0356234	
0.089	-0.2978022	-0.03642826	
0.09	-0.2977021	-0.03724184	
0.09100001	-0.2975986	-0.03806411	
0.09200001	-0.2974918	-0.03889507	
0.093	-0.2973814	-0.03973468	
0.094	-0.2972675	-0.04058294	
0.09500001	-0.2971499	-0.04143983	
0.096	-0.2970286	-0.0423053	
0.097	-0.2969034	-0.04317936	
0.098	-0.2967744	-0.04406197	
0.09900001	-0.2966413	-0.04495312	
0.1	-0.2965043	-0.04585276	
0.101	-0.2963631	-0.04676089	
0.102	-0.2962177	-0.04767748	
0.103	-0.2960681	-0.0486025	
0.104	-0.295914	-0.04953591	
0.105	-0.2957556	-0.05047771	
0.106	-0.2955925	-0.05142785	
0.107	-0.2954249	-0.05238631	
0.108	-0.2952526	-0.05335305	
0.109	-0.2950755	-0.05432805	
0.11	-0.2948935	-0.05531128	
0.111	-0.2947066	-0.05630269	
0.112	-0.2945147	-0.05730227	
0.113	-0.2943176	-0.05830996	
0.114	-0.2941153	-0.05932574	
0.115	-0.2939077	-0.06034957	
0.116	-0.2936948	-0.06138143	
0.117	-0.2934764	-0.06242124	
0.118	-0.2932524	-0.063469	
0.119	-0.2930228	-0.06452467	
0.12	-0.2927874	-0.06558817	
0.121	-0.2925462	-0.06665949	
0.122	-0.2922991	-0.06773859	
0.123	-0.292046	-0.06882539	
0.124	-0.2917868	-0.06991989	
0.125	-0.2915213	-0.07102203	
0.126	-0.2912496	-0.07213175	
0.127	-0.2909715	-0.073249	
0.128	-0.290687	-0.07437375	
0.129	-0.2903959	-0.07550594	
0.13	-0.2900981	-0.07664552	
0.131	-0.2897936	-0.07779243	
0.132	-0.2894822	-0.07894661	
0.133	-0.289164	-0.08010803	
0.134	-0.2888387	-0.08127662	
0.135	-0.2885062	-0.08245232	
0.136	-0.2881665	-0.08363506	
0.137	-0.2878196	-0.08482481	
0.138	-0.2874652	-0.08602148	
0.139	-0.2871033	-0.08722503	
0.14	-0.2867338	-0.08843539	
0.141	-0.2863566	-0.08965249	
0.142	-0.2859716	-0.09087626	
0.143	-0.2855787	-0.09210664	
0.144	-0.2851779	-0.09334356	
0.145	-0.2847689	-0.09458696	
0.146	-0.2843518	-0.09583677	
0.147	-0.2839265	-0.09709288	
0.148	-0.2834927	-0.09835526	
0.149	-0.2830505	-0.09962382	
0.15	-0.2825997	-0.1008985	
0.151	-0.2821403	-0.1021792	
0.152	-0.2816721	-0.1034658	
0.153	-0.2811951	-0.1047583	
0.154	-0.2807091	-0.1060566	
0.155	-0.2802141	-0.1073606	
0.156	-0.27971	-0.1086702	
0.157	-0.2791966	-0.1099853	
0.158	-0.278674	-0.1113059	
0.159	-0.2781419	-0.1126318	
0.16	-0.2776003	-0.113963	
0.161	-0.2770491	-0.1152994	
0.162	-0.2764882	-0.1166408	
0.163	-0.2759175	-0.1179873	
0.164	-0.275337	-0.1193386	
0.165	-0.2747465	-0.1206947	
0.166	-0.2741459	-0.1220555	
0.167	-0.2735351	-0.1234209	
0.168	-0.2729141	-0.1247908	
0.169	-0.2722828	-0.126165	
0.17	-0.2716411	-0.1275436	
0.171	-0.2709888	-0.1289263	
0.172	-0.270326	-0.1303131	
0.173	-0.2696524	-0.1317039	
0.174	-0.2689681	-0.1330985	
0.175	-0.2682729	-0.1344968	
0.176	-0.2675667	-0.1358988	
0.177	-0.2668495	-0.1373043	
0.178	-0.2661213	-0.1387132	
0.179	-0.2653818	-0.1401253	
0.18	-0.264631	-0.1415406	
0.181	-0.2638688	-0.1429589	
0.182	-0.2630952	-0.1443801	
0.183	-0.2623101	-0.1458042	
0.184	-0.2615134	-0.1472308	
0.185	-0.260705	-0.1486601	
0.186	-0.2598848	-0.1500917	
0.187	-0.2590529	-0.1515256	
0.188	-0.258209	-0.1529616	
0.189	-0.2573531	-0.1543997	
0.19	-0.2564852	-0.1558396	
0.191	-0.2556051	-0.1572813	
0.192	-0.2547128	-0.1587246	
0.193	-0.2538083	-0.1601693	
0.194	-0.2528915	-0.1616154	
0.195	-0.2519622	-0.1630626	
0.196	-0.2510205	-0.1645109	
0.197	-0.2500662	-0.1659601	
0.198	-0.2490994	-0.1674101	
0.199	-0.2481199	-0.1688606	
0.2	-0.2471277	-0.1703116	
0.201	-0.2461227	-0.1717629	
0.202	-0.2451049	-0.1732144	
0.203	-0.2440742	-0.1746659	
0.204	-0.2430307	-0.1761172	
0.205	-0.241974	-0.1775683	
0.206	-0.2409044	-0.1790188	
0.207	-0.2398217	-0.1804688	
0.208	-0.2387259	-0.181918	
0.209	-0.2376169	-0.1833663	
0.21	-0.2364947	-0.1848134	
0.211	-0.2353593	-0.1862594	
0.212	-0.2342105	-0.1877038	
0.213	-0.2330484	-0.1891468	
0.214	-0.231873	-0.190588	
0.215	-0.2306841	-0.1920272	
0.216	-0.2294818	-0.1934644	
0.217	-0.2282661	-0.1948993	
0.218	-0.2270368	-0.1963319	
0.219	-0.2257941	-0.1977618	
0.22	-0.2245378	-0.199189	
0.221	-0.2232679	-0.2006132	
0.222	-0.2219845	-0.2020344	
0.223	-0.2206875	-0.2034523	
0.224	-0.2193768	-0.2048667	
