Time	Root2_Y	Root_Y	
0	0	1	
0.0005	0	0.9999976	
0.001	0	0.9999927	
0.0015	0	0.9999853	
0.002	0	0.9999755	
0.0025	0	0.9999632	
0.003	0	0.9999485	
0.0035	0	0.9999313	
0.004	0	0.9999117	
0.0045	0	0.9998897	
0.005	0	0.9998652	
0.0055	0	0.9998382	
0.006	0	0.9998087	
0.0065	0	0.9997768	
0.007	0	0.9997425	
0.0075	0	0.9997057	
0.008	0	0.9996665	
0.0085	0	0.9996247	
0.009000001	0	0.9995807	
0.009500001	0	0.9995341	
0.01	0	0.999485	
0.0105	0	0.9994335	
0.011	0	0.9993796	
0.0115	0	0.9993231	
0.012	0	0.9992642	
0.0125	0	0.9992029	
0.013	0	0.9991392	
0.0135	0	0.999073	
0.014	0	0.9990043	
0.0145	0	0.9989331	
0.015	0	0.9988596	
0.0155	0	0.9987836	
0.016	0	0.9987051	
0.0165	0	0.9986241	
0.017	0	0.9985408	
0.0175	0	0.998455	
0.018	0	0.9983667	
0.0185	0	0.9982759	
0.019	0	0.9981827	
0.0195	0	0.998087	
0.02	0	0.997989	
0.0205	0	0.9978884	
0.021	0	0.9977854	
0.0215	0	0.9976799	
0.022	0	0.9975721	
0.0225	0	0.9974617	
0.023	0	0.9973489	
0.0235	0	0.9972336	
0.024	0	0.9971159	
0.0245	0	0.9969956	
0.025	0	0.9968731	
0.0255	0	0.996748	
0.026	0	0.9966205	
0.0265	0	0.9964905	
0.027	0	0.996358	
0.0275	0	0.9962232	
0.028	0	0.9960858	
0.0285	0	0.995946	
0.029	0	0.9958038	
0.0295	0	0.9956591	
0.03	0	0.9955119	
0.0305	0	0.9953623	
0.031	0	0.9952103	
0.0315	0	0.9950558	
0.032	0	0.9948988	
0.0325	0	0.9947394	
0.033	0	0.9945775	
0.0335	0	0.9944132	
0.034	0	0.9942464	
0.0345	0	0.9940772	
0.035	0	0.9939055	
0.0355	0	0.9937314	
0.036	0	0.9935548	
0.0365	0	0.9933758	
0.037	0	0.9931943	
0.0375	0	0.9930103	
0.038	0	0.992824	
0.0385	0	0.9926352	
0.039	0	0.9924439	
0.0395	0	0.9922501	
0.04	0	0.9920539	
0.0405	0	0.9918553	
0.041	0	0.9916541	
0.0415	0	0.9914506	
0.042	0	0.9912446	
0.0425	0	0.9910361	
0.043	0	0.9908252	
0.0435	0	0.9906119	
0.044	0	0.990396	
0.0445	0	0.9901778	
0.045	0	0.989957	
0.0455	0	0.9897338	
0.046	0	0.9895083	
0.0465	0	0.9892802	
0.047	0	0.9890496	
0.0475	0	0.9888167	
0.048	0	0.9885812	
0.0485	0	0.9883432	
0.049	0	0.9881029	
0.0495	0	0.9878601	
0.05	0	0.9876149	
0.0505	0	0.9873672	
0.051	0	0.987117	
0.0515	0	0.9868644	
0.052	0	0.9866094	
0.0525	0	0.9863519	
0.053	0	0.9860919	
0.0535	0	0.9858295	
0.054	0	0.9855646	
0.0545	0	0.9852973	
0.055	0	0.9850275	
0.0555	0	0.9847552	
0.056	0	0.9844806	
0.0565	0	0.9842035	
0.057	0	0.9839239	
0.0575	0	0.9836418	
0.058	0	0.9833574	
0.0585	0	0.9830704	
0.059	0	0.9827811	
0.0595	0	0.9824891	
0.06	0	0.9821948	
0.0605	0	0.9818981	
0.061	0	0.9815989	
0.0615	0	0.9812972	
0.062	0	0.9809931	
0.0625	0	0.9806866	
0.063	0	0.9803776	
0.0635	0	0.9800661	
0.064	0	0.9797522	
0.0645	0	0.9794359	
0.06500001	0	0.9791169	
0.06550001	0	0.9787957	
0.066	0	0.9784719	
0.0665	0	0.9781458	
0.067	0	0.9778172	
0.0675	0	0.9774861	
0.068	0	0.9771525	
0.0685	0	0.9768166	
0.06900001	0	0.9764781	
0.06950001	0	0.9761372	
0.07	0	0.9757938	
0.0705	0	0.9754481	
0.071	0	0.9750997	
0.0715	0	0.9747491	
0.072	0	0.9743959	
0.07250001	0	0.9740403	
0.07300001	0	0.9736822	
0.0735	0	0.9733217	
0.074	0	0.9729587	
0.0745	0	0.9725933	
0.075	0	0.9722255	
0.0755	0	0.9718551	
0.07600001	0	0.9714824	
0.07650001	0	0.9711071	
0.07700001	0	0.9707295	
0.0775	0	0.9703493	
0.078	0	0.9699667	
0.0785	0	0.9695816	
0.079	0	0.9691941	
0.0795	0	0.9688042	
0.08000001	0	0.9684119	
0.08050001	0	0.9680169	
0.081	0	0.9676196	
0.0815	0	0.9672199	
0.082	0	0.9668177	
0.0825	0	0.966413	
0.083	0	0.9660059	
0.08350001	0	0.9655963	
0.08400001	0	0.9651843	
0.08450001	0	0.9647698	
0.085	0	0.9643529	
0.0855	0	0.9639336	
0.086	0	0.9635116	
0.0865	0	0.9630875	
0.087	0	0.9626607	
0.08750001	0	0.9622316	
0.08800001	0	0.9617998	
0.0885	0	0.9613658	
0.089	0	0.9609292	
0.0895	0	0.9604902	
0.09	0	0.9600488	
0.0905	0	0.9596049	
0.09100001	0	0.9591585	
0.09150001	0	0.9587097	
0.09200001	0	0.9582585	
0.0925	0	0.9578048	
0.093	0	0.9573485	
0.0935	0	0.9568899	
0.094	0	0.9564289	
0.09450001	0	0.9559653	
0.09500001	0	0.9554994	
0.09550001	0	0.9550309	
0.096	0	0.9545601	
0.0965	0	0.9540868	
0.097	0	0.953611	
0.0975	0	0.9531327	
0.098	0	0.9526521	
0.09850001	0	0.9521689	
0.09900001	0	0.9516833	
0.09950001	0	0.9511952	
0.1	0	0.9507048	
0.1005	0	0.9502118	
0.101	0	0.9497164	
0.1015	0	0.9492186	
0.102	0	0.9487182	
0.1025	0	0.9482155	
0.103	0	0.9477102	
0.1035	0	0.9472026	
0.104	0	0.9466925	
0.1045	0	0.9461799	
0.105	0	0.9456649	
0.1055	0	0.9451475	
0.106	0	0.9446275	
0.1065	0	0.9441051	
0.107	0	0.9435803	
0.1075	0	0.9430529	
0.108	0	0.9425232	
0.1085	0	0.941991	
0.109	0	0.9414563	
0.1095	0	0.9409193	
0.11	0	0.9403797	
0.1105	0	0.9398378	
0.111	0	0.9392933	
0.1115	0	0.9387464	
0.112	0	0.938197	
0.1125	0	0.9376451	
0.113	0	0.9370909	
0.1135	0	0.9365342	
0.114	0	0.935975	
0.1145	0	0.9354134	
0.115	0	0.9348494	
0.1155	0	0.9342828	
0.116	0	0.9337139	
0.1165	0	0.9331424	
0.117	0	0.9325685	
0.1175	0	0.9319922	
0.118	0	0.9314134	
0.1185	0	0.9308321	
0.119	0	0.9302484	
0.1195	0	0.9296623	
0.12	0	0.9290738	
0.1205	0	0.9284827	
0.121	0	0.9278892	
0.1215	0	0.9272932	
0.122	0	0.9266948	
0.1225	0	0.9260939	
0.123	0	0.9254906	
0.1235	0	0.9248848	
0.124	0	0.9242766	
0.1245	0	0.9236659	
0.125	0	0.9230528	
0.1255	0	0.9224372	
0.126	0	0.9218192	
0.1265	0	0.9211988	
0.127	0	0.9205758	
0.1275	0	0.9199504	
0.128	0	0.9193226	
0.1285	0	0.9186922	
0.129	0	0.9180595	
0.1295	0	0.9174243	
0.13	0	0.9167867	
0.1305	0	0.9161466	
0.131	0	0.915504	
0.1315	0	0.914859	
0.132	0	0.9142116	
0.1325	0	0.9135616	
0.133	0	0.9129092	
0.1335	0	0.9122545	
0.134	0	0.9115972	
0.1345	0	0.9109374	
0.135	0	0.9102753	
0.1355	0	0.9096107	
0.136	0	0.9089436	
0.1365	0	0.9082741	
0.137	0	0.907602	
0.1375	0	0.9069276	
0.138	0	0.9062508	
0.1385	0	0.9055714	
0.139	0	0.9048896	
0.1395	0	0.9042053	
0.14	0	0.9035187	
0.1405	0	0.9028295	
0.141	0	0.9021379	
0.1415	0	0.9014439	
0.142	0	0.9007473	
0.1425	0	0.9000484	
0.143	0	0.8993469	
0.1435	0	0.898643	
0.144	0	0.8979368	
0.1445	0	0.8972279	
0.145	0	0.8965167	
0.1455	0	0.8958031	
0.146	0	0.8950869	
0.1465	0	0.8943684	
0.147	0	0.8936473	
0.1475	0	0.8929238	
0.148	0	0.8921979	
0.1485	0	0.8914695	
0.149	0	0.8907387	
0.1495	0	0.8900054	
0.15	0	0.8892696	
0.1505	0	0.8885314	
0.151	0	0.8877908	
0.1515	0	0.8870477	
0.152	0	0.8863021	
0.1525	0	0.885554	
0.153	0	0.8848036	
0.1535	0	0.8840507	
0.154	0	0.8832954	
0.1545	0	0.8825375	
0.155	0	0.8817772	
0.1555	0	0.8810145	
0.156	0	0.8802493	
0.1565	0	0.8794817	
0.157	0	0.8787116	
0.1575	0	0.877939	
0.158	0	0.8771641	
0.1585	0	0.8763866	
0.159	0	0.8756067	
0.1595	0	0.8748243	
0.16	0	0.8740396	
0.1605	0	0.8732523	
0.161	0	0.8724627	
0.1615	0	0.8716704	
0.162	0	0.8708758	
0.1625	0	0.8700787	
0.163	0	0.8692793	
0.1635	0	0.8684773	
0.164	0	0.8676729	
0.1645	0	0.8668661	
0.165	0	0.8660567	
0.1655	0	0.865245	
0.166	0	0.8644307	
0.1665	0	0.863614	
0.167	0	0.8627949	
0.1675	0	0.8619733	
0.168	0	0.8611493	
0.1685	0	0.8603228	
0.169	0	0.8594939	
0.1695	0	0.8586624	
0.17	0	0.8578286	
0.1705	0	0.8569922	
0.171	0	0.8561535	
0.1715	0	0.8553123	
0.172	0	0.8544686	
0.1725	0	0.8536226	
0.173	0	0.852774	
0.1735	0	0.8519229	
0.174	0	0.8510695	
0.1745	0	0.8502135	
0.175	0	0.8493552	
0.1755	0	0.8484944	
0.176	0	0.8476311	
0.1765	0	0.8467653	
0.177	0	0.8458971	
0.1775	0	0.8450265	
0.178	0	0.8441534	
0.1785	0	0.8432779	
0.179	0	0.8423999	
0.1795	0	0.8415195	
0.18	0	0.8406366	
0.1805	0	0.8397512	
0.181	0	0.8388634	
0.1815	0	0.8379731	
0.182	0	0.8370804	
0.1825	0	0.8361853	
0.183	0	0.8352877	
0.1835	0	0.8343876	
0.184	0	0.8334851	
0.1845	0	0.8325801	
0.185	0	0.8316727	
0.1855	0	0.8307628	
0.186	0	0.8298504	
0.1865	0	0.8289356	
0.187	0	0.8280184	
0.1875	0	0.8270988	
0.188	0	0.8261766	
0.1885	0	0.825252	
0.189	0	0.824325	
0.1895	0	0.8233954	
0.19	0	0.8224635	
0.1905	0	0.8215291	
0.191	0	0.8205922	
0.1915	0	0.819653	
0.192	0	0.8187112	
0.1925	0	0.817767	
0.193	0	0.8168203	
0.1935	0	0.8158712	
0.194	0	0.8149196	
0.1945	0	0.8139656	
0.195	0	0.8130091	
0.1955	0	0.8120502	
0.196	0	0.8110887	
0.1965	0	0.810125	
0.197	0	0.8091587	
0.1975	0	0.80819	
0.198	0	0.8072187	
0.1985	0	0.8062451	
0.199	0	0.8052691	
0.1995	0	0.8042905	
0.2	0	0.8033094	
0.2005	0	0.802326	
0.201	0	0.8013401	
0.2015	0	0.8003517	
0.202	0	0.7993609	
0.2025	0	0.7983677	
0.203	0	0.797372	
0.2035	0	0.7963738	
0.204	0	0.7953732	
0.2045	0	0.7943701	
0.205	0	0.7933646	
0.2055	0	0.7923566	
0.206	0	0.7913462	
0.2065	0	0.7903333	
0.207	0	0.789318	
0.2075	0	0.7883002	
0.208	0	0.78728	
0.2085	0	0.7862572	
0.209	0	0.7852321	
0.2095	0	0.7842045	
0.21	0	0.7831745	
0.2105	0	0.7821419	
0.211	0	0.781107	
0.2115	0	0.7800696	
0.212	0	0.7790297	
0.2125	0	0.7779874	
0.213	0	0.7769427	
0.2135	0	0.7758954	
0.214	0	0.7748458	
0.2145	0	0.7737936	
0.215	0	0.7727391	
0.2155	0	0.771682	
0.216	0	0.7706226	
0.2165	0	0.7695606	
0.217	0	0.7684962	
0.2175	0	0.7674294	
0.218	0	0.7663601	
0.2185	0	0.7652884	
0.219	0	0.7642142	
0.2195	0	0.7631375	
0.22	0	0.7620584	
0.2205	0	0.7609769	
0.221	0	0.7598929	
0.2215	0	0.7588064	
0.222	0	0.7577175	
0.2225	0	0.7566261	
0.223	0	0.7555323	
0.2235	0	0.7544361	
0.224	0	0.7533373	
0.2245	0	0.7522361	
0.225	0	0.7511325	
0.2255	0	0.7500265	
0.226	0	0.7489179	
0.2265	0	0.747807	
0.227	0	0.7466936	
0.2275	0	0.7455776	
0.228	0	0.7444593	
0.2285	0	0.7433385	
0.229	0	0.7422153	
0.2295	0	0.7410895	
0.23	0	0.7399614	
0.2305	0	0.7388308	
0.231	0	0.7376978	
0.2315	0	0.7365622	
0.232	0	0.7354243	
0.2325	0	0.7342839	
0.233	0	0.733141	
0.2335	0	0.7319957	
0.234	0	0.7308479	
